Week,TOW,Sys,Sat,Obs,Value,LoL,Strg
1989,564573.000000,G,28,L1C,123009111.955000,0,7
1989,564573.000000,G,28,D1C,2810.310000,0,7
1989,564573.000000,G,28,S1C,42.000000,0,7
1989,564578.000000,G,5,C1C,24241664.619000,0,7
1989,564578.000000,G,5,L1C,127391543.348000,0,7
1989,564578.000000,G,5,D1C,3673.285000,0,7
1989,564578.000000,G,5,S1C,43.000000,0,7
1989,564578.000000,G,12,C1C,23984881.019000,0,7
1989,564578.000000,G,12,L1C,126042083.424000,0,7
1989,564578.000000,G,12,D1C,-3947.481000,0,7
1989,564578.000000,G,12,S1C,43.000000,0,7
1989,564578.000000,G,13,C1C,20630910.821000,0,7
1989,564578.000000,G,13,L1C,108416852.071000,0,7
1989,564578.000000,G,13,D1C,1167.650000,0,7
1989,564578.000000,G,13,S1C,45.000000,0,7
1989,564578.000000,G,15,C1C,20346762.275000,0,6
1989,564578.000000,G,15,L1C,106923747.381000,0,6
1989,564578.000000,G,15,D1C,-568.473000,0,6
1989,564578.000000,G,15,S1C,41.000000,0,6
1989,564578.000000,G,17,C1C,24020553.486000,0,8
1989,564578.000000,G,17,L1C,126229527.503000,0,8
1989,564578.000000,G,17,D1C,-1858.604000,0,8
1989,564578.000000,G,17,S1C,48.000000,0,8
1989,564578.000000,G,19,C1C,24488574.508000,0,7
1989,564578.000000,G,19,L1C,128688978.580000,0,7
1989,564578.000000,G,19,D1C,-2991.670000,0,7
1989,564578.000000,G,19,S1C,44.000000,0,7
1989,564578.000000,G,20,C1C,21526707.820000,0,6
1989,564578.000000,G,20,L1C,113124269.076000,0,6
1989,564578.000000,G,20,D1C,1794.323000,0,6
1989,564578.000000,G,20,S1C,36.000000,0,6
1989,564578.000000,G,24,C1C,21587384.788000,0,5
1989,564578.000000,G,24,L1C,113442328.741000,0,5
1989,564578.000000,G,24,D1C,-1956.253000,0,5
1989,564578.000000,G,24,S1C,34.000000,0,5
1989,564578.000000,G,28,C1C,23410401.579000,0,7
1989,564578.000000,G,28,L1C,123023168.590000,0,7
1989,564578.000000,G,28,D1C,2810.957000,0,7
1989,564578.000000,G,28,S1C,42.000000,0,7
1989,564583.000000,G,5,C1C,24245160.824000,0,7
1989,564583.000000,G,5,L1C,127409912.025000,0,7
1989,564583.000000,G,5,D1C,3673.398000,0,7
1989,564583.000000,G,5,S1C,43.000000,0,7
1989,564583.000000,G,12,C1C,23981121.435000,0,7
1989,564583.000000,G,12,L1C,126022345.678000,0,7
1989,564583.000000,G,12,D1C,-3946.968000,0,7
1989,564583.000000,G,12,S1C,43.000000,0,7
1989,564583.000000,G,13,C1C,20632023.584000,0,7
1989,564583.000000,G,13,L1C,108422695.684000,0,7
1989,564583.000000,G,13,D1C,1169.271000,0,7
1989,564583.000000,G,13,S1C,45.000000,0,7
1989,564583.000000,G,15,C1C,20346222.179000,0,6
1989,564583.000000,G,15,L1C,106920910.159000,0,6
1989,564583.000000,G,15,D1C,-566.030000,0,6
1989,564583.000000,G,15,S1C,40.000000,0,6
1989,564583.000000,G,17,C1C,24018786.203000,0,8
1989,564583.000000,G,17,L1C,126220239.372000,0,8
1989,564583.000000,G,17,D1C,-1856.808000,0,8
1989,564583.000000,G,17,S1C,48.000000,0,8
1989,564583.000000,G,19,C1C,24485730.489000,0,7
1989,564583.000000,G,19,L1C,128674020.158000,0,7
1989,564583.000000,G,19,D1C,-2991.146000,0,7
1989,564583.000000,G,19,S1C,45.000000,0,7
1989,564583.000000,G,20,C1C,21528409.924000,0,5
1989,564583.000000,G,20,L1C,113133243.694000,0,5
1989,564583.000000,G,20,D1C,1797.269000,0,5
1989,564583.000000,G,20,S1C,34.000000,0,5
1989,564583.000000,G,24,C1C,21585503.009000,0,4
1989,564583.000000,G,24,L1C,113432549.923000,0,4
1989,564583.000000,G,24,D1C,-1956.510000,0,4
1989,564583.000000,G,24,S1C,27.000000,0,4
1989,564583.000000,G,28,C1C,23413078.137000,0,6
1989,564583.000000,G,28,L1C,123037226.999000,0,6
1989,564583.000000,G,28,D1C,2812.291000,0,6
1989,564583.000000,G,28,S1C,41.000000,0,6
1989,564588.000000,G,5,C1C,24248657.996000,0,7
1989,564588.000000,G,5,L1C,127428289.788000,0,7
1989,564588.000000,G,5,D1C,3673.911000,0,7
1989,564588.000000,G,5,S1C,43.000000,0,7
1989,564588.000000,G,12,C1C,23977365.574000,0,7
1989,564588.000000,G,12,L1C,126002619.493000,0,7
1989,564588.000000,G,12,D1C,-3946.331000,0,7
1989,564588.000000,G,12,S1C,43.000000,0,7
1989,564588.000000,G,13,C1C,20633138.630000,0,7
1989,564588.000000,G,13,L1C,108428558.287000,0,7
1989,564588.000000,G,13,D1C,1172.432000,0,7
1989,564588.000000,G,13,S1C,46.000000,0,7
1989,564588.000000,G,15,C1C,20345686.347000,0,6
1989,564588.000000,G,15,L1C,106918093.340000,0,6
1989,564588.000000,G,15,D1C,-563.187000,0,6
1989,564588.000000,G,15,S1C,40.000000,0,6
1989,564588.000000,G,17,C1C,24017020.520000,0,7
1989,564588.000000,G,17,L1C,126210968.643000,0,7
1989,564588.000000,G,17,D1C,-1854.766000,0,7
1989,564588.000000,G,17,S1C,47.000000,0,7
1989,564588.000000,G,19,C1C,24482885.699000,0,7
1989,564588.000000,G,19,L1C,128659073.685000,0,7
1989,564588.000000,G,19,D1C,-2990.151000,0,7
1989,564588.000000,G,19,S1C,45.000000,0,7
1989,564588.000000,G,20,C1C,21530115.797000,0,5
1989,564588.000000,G,20,L1C,113142240.115000,0,5
1989,564588.000000,G,20,D1C,1799.752000,0,5
1989,564588.000000,G,20,S1C,34.000000,0,5
1989,564588.000000,G,24,C1C,21583632.813000,0,4
1989,564588.000000,G,24,L1C,113422647.981000,0,4
1989,564588.000000,G,24,D1C,-1952.497000,0,4
1989,564588.000000,G,24,S1C,27.000000,0,4
1989,564588.000000,G,28,C1C,23415754.570000,0,6
1989,564588.000000,G,28,L1C,123051300.750000,0,6
1989,564588.000000,G,28,D1C,2813.943000,0,6
1989,564588.000000,G,28,S1C,41.000000,0,6
1989,564593.000000,G,5,C1C,24252152.886000,0,7
1989,564593.000000,G,5,L1C,127446654.559000,0,7
1989,564593.000000,G,5,D1C,3673.953000,0,7
1989,564593.000000,G,5,S1C,43.000000,0,7
